contenedor_key,contenedor_id,pedido,parcial,naviera,puerto,deposito_vacio
639,MSDU7889733,8000149 P6 - 175 P12 FSC GG,,MSC,CGSA,MEDLOG
640,MSDU7927704,8000212 P3 - 8000213 P2 FSC GG,,MSC,TPG,MEDLOG
641,MSDU7936347,8000149 P6 - 175 P12 FSC GG,,MSC,CGSA,MEDLOG
642,MSDU7995273,8000236 P1 FSC GE,RE-03395,MSC,RE-03395,MEDLOG
643,MSDU8024312,8000196 P1 FSC GE,,MSC,CGSA,MEDLOG
644,MSDU8051200,8000215 P2 FSC GE,RE-06205,MSC,RE-06205,MEDLOG
645,MSDU8102328,8000204 P1 FSC GG,,MSC,NAPORTEC,MEDLOG
646,MSDU8112075,8000204 P2 FSC GG,,MSC,NAPORTEC,MEDLOG
647,MSDU8264550,8000215 P1 FSC GG,RE-54392,MSC,RE-54392,MEDLOG
648,MSDU8342925,8000218 P1 FSC GE,RE-54910,MSC,RE-54910,MEDLOG
649,MSDU8392320,8000149 P9  5700011051 P2 FSC GE,,MSC,NAPORTEC,MEDLOG
650,MSDU8503568,8000149 P8 FSC GE,,MSC,CGSA,MEDLOG
651,MSDU8528550,8000159 P9 -8000175 P3 FSC GE,,MSC,CGSA,MEDLOG
652,MSDU8560547,8000215 P1 FSC GG,RE-54392,MSC,RE-54392,MEDLOG
653,MSDU8613729,5700011284 P1 P3 GE,RE-06848,MSC,RE-06848,MEDLOG
654,MSDU8721528,8000175 P7 FSC GE,,MSC,CGSA,MEDLOG
655,MSDU8733370,5700011108 P2 GG,RE-07749,MSC,RE-07749,MEDLOG
656,MSDU8735769,8000149 P8 FSC GE,,MSC,CGSA,MEDLOG
657,MSDU8762580,5700011108 P2 GG,RE-07749,MSC,RE-07749,MEDLOG
658,MSDU8764371,5700010798 P3 CARTULINA GE,,MSC,TPG,MEDLOG
659,MSDU8765613,5700011284 P1 P3 GE,RE-06848,MSC,RE-06848,MEDLOG
660,MSDU8803776,8000236 P4 FSC GE,RE-04220,MSC,RE-04220,MEDLOG
661,MSDU8846361,8000175 P7 FSC GE,,MSC,CGSA,MEDLOG
662,MSDU8851882,8000214 P2 FSC GG,RE-54128,MSC,RE-54128,MEDLOG
663,MSDU8858655,8000171  P1  FSC GE,,MSC,CGSA,MEDLOG
664,MSDU8879088,8000234 P1 FSC GE,,MSC,TPG,MEDLOG
665,MSDU8912400,8000159 P9 -8000175 P3 FSC GE,,MSC,CGSA,MEDLOG
666,MSDU8922250,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,RE-05174,MSC,RE-05174,MEDLOG
667,MSDU8923642,8000215 P2 FSC GE,RE-06205,MSC,RE-06205,MEDLOG
668,MSDU8991858,5700010798 P3 CARTULINA GE,,MSC,TPG,MEDLOG
669,MSDU9846561,8000217 P1 FSC GE,RE-08356,MSC,RE-08356,MEDLOG
670,MSKU1017132,8000197 P1 P2 P3 P4,,MAERKS,TPG,OPACIFIC
671,MSKU1028610,8000197 P1 P2 P3 P4,,MAERKS,TPG,OPACIFIC
672,MSMU4036651,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,RE-05174,MSC,RE-05174,MEDLOG
673,MSMU4052360,8000149 P6 - 175 P12 FSC GG,,MSC,CGSA,MEDLOG
674,MSMU4054275,5700011108 P1 - 11051 P9 - 8000171 P4 FSC GE,,MSC,TPG,MEDLOG
675,MSMU4138308,8000149 P8 FSC GE,,MSC,CGSA,MEDLOG
676,MSMU4166927,8000171  P1  FSC GE,,MSC,CGSA,MEDLOG
677,MSMU4167348,8000192  P3 FSC GG,,MSC,CGSA,MEDLOG
678,MSMU4184129,8000214 P2 FSC GG,RE-54128,MSC,RE-54128,MEDLOG
679,MSMU4189310,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,RE-05174,MSC,RE-05174,MEDLOG
680,MSMU4234214,5700011284 P2 GE,RE-05558,MSC,TPG,MEDLOG
